"","artname","count","genre","nchar"
"1","+/-",15,"",3
"2","☺",2,"happy+hardcore, mellow, ambient, electronic, trance",1
"3","ロ±ロ",1,"noise, idm, breakcore, breakbeat, nihongo",3
"4","거미",1,"k-pop, korean, rnb, female+vocalists, yg+family",2
"5","たま",1,"folk, japanese, new+wave, pop, nagomu",2
"6","ゆう",1,"japanese, j-rock, jazz, touhou, doujin+ongaku",2
"7","ゆず",2,"j-pop, japanese, folk, jpop, j-rock",2
"8","グミ",2,"j-pop, japanese, anime, pop, female+vocalists",2
"9","신화",1,"k-pop, korean, shinhwa, kpop, k-music",2
"10","소영",3,"female+vocalist, female+singer, kpop",2
"11","ジン",1,"j-rock, japanese, rock, female+vocalists, alternative",2
"12","シド",4,"j-rock, japanese, visual+kei, rock, jrock",2
"13","ルゼ",1,"j-core, hardcore, happy+hardcore, touhou, freeform",2
"14","짙은",1,"korean, indie, korean+indie, k-pop, pastel+music",2
"15","윤하",1,"korean, k-pop, female+vocalists, pop, younha",2
"16","태빈",1,"korean, rnb, k-pop, yg+family, kpop",2
"17","ゆい",1,"anime, dance",2
"18","โบ สุนิตา",1,"thai",9
"19","นภ พรชำนิ",1,"acoustic, thai, bakery, thai+indie, under+2000+listeners",9
"20","초신성",1,"k-pop, korean, supernova, kpop, pop",3
"21","유채영",1,"korean, k-pop, female+vocalists, kpop, asian",3
"22","カレン",2,"enka, japanese, visual+kei, under+code+production, j-rock",3
"23","カレン",2,"enka, japanese, visual+kei, under+code+production, j-rock",3
"24","문희준",1,"k-rock, korean, k-pop, korean+rock, rock",3
"25","ジェロ",1,"enka, japanese, j-pop, jpop, male+vocalists",3
"26","แดน",1,"",3
"27","조영욱",2,"soundtrack, korean, composer, contemporary+classical, instrumental",3
"28","류시원",1,"k-pop, pop, korean, kpop, asian",3
"29","みなを",1,"anime, japanese, j-pop, ost, dn+angel",3
"30","ヒダリ",1,"rock, japan, good+new+j-stuff, powerpop, power-pop",3
"31","불싸조",1,"korean, shoegaze, rock, indie, post-rock",3
"32","キリト",1,"j-rock, visual+kei, rock, japanese, male+vocalists",3
"33","ムック",2,"j-rock, japanese, visual+kei, rock, jrock",3
"34","ユンナ",2,"female+vocalists, j-pop, korean, pop, japanese",3
"35","황보라",1,"korean, beautiful, rainbow+romance, female+vocalists, k-pop",3
"36","클레오",1,"pop, k-pop, rnb, female+vocalists, korean",3
"37","이정현",2,"k-pop, korean, dance, female+vocalists, lee+jung+hyun",3
"38","파파야",1,"k-dance, k-pop, korean, dance, female+vocalists",3
"39","알렉스",1,"korean, k-pop, ballad, male+vocalists, alex",3
"40","ちっち",1,"japanese, j-pop, eroge, dj+shimamura, female+vocalist",3
"41","ベティ",2,"japanese, indie, visual+kei, j-rock, disbanded",3
"42","이효리",2,"k-pop, korean, dance, pop, female+vocalists",3
"43","カノン",1,"classical, opera, female+vocalists, heavenly+voices, classical+crossover",3
"44","캐스커",1,"korean, pastel+music, electronic, k-pop",3
"45","이선균",1,"korean, soundtrack, ballad, kpop, coffee+prince",3
"46","くるり",2,"japanese, j-rock, rock, alternative, j-pop",3
"47","조수아",2,"",3
"48","한동준",1,"korean, 1967, 6559, pop, ballad",3
"49","キンヤ",1,"j-pop, japanese, pop, male+vocalists, anime",3
"50","ᛏᛣᚱ",3,"folk+metal, viking+metal, faroe+islands, progressive+metal, faroese",3
"51","บี้",1,"",3
"52","レオン",1,"visual+kei, 2004",3
"53","언니네 이발관",1,"korean, rock, indie, korean+indie, modern+rock",7
"54","คิว สุวีระ บุญรอด",1,"",17
"55","บี้ สุกฤษฎิ์",1,"",12
"56","โอ้ เสกสรรค์ ปานประทีป",1,"city+pop",22
"57","บี้ เดอะสตาร์",1,"",13
"58","แมว จิระศักดิ์",1,"thai",14
"59","โรส ศิรินทิพย์ & ไอซ์ ศรัณยู",1,"",28
"60","タンポポ",2,"j-pop, hello+project, female+vocalists, idol, japanese",4
"61","소녀시대",1,"k-pop, korean, pop, kpop, snsd",4
"62","タカチャ",1,"japanese, reggae, blues, j-pop, pop",4
"63","푸른새벽",1,"korean, dream+pop, indie, ambient, korean+indie",4
"64","어른아이",1,"korean, indie, female+vocalists, acoustic, pastel+music",4
"65","イルリメ",1,"japanese, hip-hop, dub, hip+hop, ecd",4
