order_id,inventory_id,date,quantity,user_id
1,16,2014-09-01,1,4
2,23,2014-09-01,1,41
3,35,2014-09-01,1,45
4,55,2014-09-01,1,7
5,13,2014-09-01,1,3
6,54,2014-09-01,1,8
7,57,2014-09-01,1,53
8,40,2014-09-01,1,51
9,38,2014-09-01,1,53
10,4,2014-09-01,1,3
11,13,2014-09-01,1,7
12,11,2014-09-01,1,33
13,42,2014-09-01,1,7
14,24,2014-09-01,2,44
15,47,2014-09-01,1,44
16,30,2014-09-01,1,48
17,44,2014-09-01,1,38
18,60,2014-09-01,1,31
19,23,2014-09-01,3,28
20,47,2014-09-01,1,3
21,57,2014-09-01,1,13
22,13,2014-09-01,16,21
23,40,2014-09-01,2,33
24,8,2014-09-01,1,47
25,17,2014-09-01,1,26
26,24,2014-09-01,2,42
27,1,2014-09-01,1,32
28,23,2014-09-01,2,48
29,53,2014-09-01,1,55
30,21,2014-09-01,2,26
31,29,2014-09-01,1,20
32,36,2014-09-02,1,56
33,30,2014-09-02,1,13
34,12,2014-09-02,1,49
35,50,2014-09-02,1,19
36,41,2014-09-02,1,35
37,48,2014-09-02,1,24
38,7,2014-09-02,1,17
39,44,2014-09-02,7,16
40,25,2014-09-02,2,58
41,50,2014-09-02,1,39
42,39,2014-09-02,1,5
43,47,2014-09-02,1,56
44,34,2014-09-02,1,54
45,32,2014-09-02,1,55
46,48,2014-09-02,2,44
47,2,2014-09-02,1,41
48,29,2014-09-02,2,34
49,44,2014-09-02,1,25
50,42,2014-09-02,1,52
51,29,2014-09-02,1,5
52,52,2014-09-02,1,17
53,27,2014-09-02,1,10
54,15,2014-09-02,3,46
55,5,2014-09-02,1,7
56,6,2014-09-02,2,11
57,19,2014-09-02,2,29
58,32,2014-09-02,2,1
59,40,2014-09-02,1,59
60,25,2014-09-02,1,7
61,55,2014-09-02,1,5
62,18,2014-09-02,1,20
63,28,2014-09-02,1,8
64,20,2014-09-02,1,60
65,40,2014-09-02,2,25
66,16,2014-09-02,1,15
67,29,2014-09-02,1,22
68,46,2014-09-02,1,10
69,6,2014-09-02,5,18
70,53,2014-09-02,1,16
71,21,2014-09-02,1,10
72,51,2014-09-02,1,2
73,21,2014-09-02,1,49
74,21,2014-09-02,1,35
75,29,2014-09-02,1,35
76,54,2014-09-02,1,43
77,52,2014-09-02,2,4
78,24,2014-09-02,1,31
79,47,2014-09-02,2,24
80,58,2014-09-02,1,26
81,27,2014-09-02,2,33
82,43,2014-09-02,2,39
83,24,2014-09-02,1,48
84,20,2014-09-03,1,51
85,46,2014-09-03,1,5
86,13,2014-09-03,1,52
87,43,2014-09-03,2,58
88,8,2014-09-03,1,56
89,15,2014-09-03,1,4
90,9,2014-09-03,1,15
91,15,2014-09-03,1,30
92,4,2014-09-03,1,7
93,39,2014-09-03,1,12
94,53,2014-09-03,2,13
95,47,2014-09-03,1,13
96,48,2014-09-03,1,2
97,28,2014-09-03,1,15
98,25,2014-09-03,1,7
99,49,2014-09-03,1,17
100,37,2014-09-03,1,42
101,40,2014-09-03,1,16
102,22,2014-09-03,1,40
103,17,2014-09-03,1,13
104,60,2014-09-03,3,1
105,39,2014-09-03,1,7
106,13,2014-09-03,1,18
107,8,2014-09-03,1,27
108,29,2014-09-03,1,42
109,56,2014-09-03,1,2
110,36,2014-09-03,1,58
111,59,2014-09-03,1,49
112,44,2014-09-03,1,55
113,22,2014-09-03,1,19
114,26,2014-09-03,3,20
115,9,2014-09-04,1,9
116,1,2014-09-04,2,58
117,43,2014-09-04,1,14
118,7,2014-09-04,1,2
119,27,2014-09-04,1,4
120,39,2014-09-04,1,56
121,60,2014-09-04,1,3
122,30,2014-09-04,3,49
123,30,2014-09-04,1,42
124,11,2014-09-04,1,24
125,46,2014-09-04,1,24
126,28,2014-09-04,1,59
127,31,2014-09-04,1,14
128,13,2014-09-04,1,35
129,14,2014-09-04,2,59
130,36,2014-09-04,1,35
131,35,2014-09-04,1,38
132,5,2014-09-04,1,47
133,3,2014-09-04,1,52
134,39,2014-09-04,1,3
135,56,2014-09-04,1,54
136,36,2014-09-04,1,12
137,34,2014-09-04,1,24
138,32,2014-09-04,1,30
139,60,2014-09-04,1,23
140,31,2014-09-04,1,42
141,41,2014-09-04,3,44
142,37,2014-09-04,1,19
143,15,2014-09-04,1,59
144,16,2014-09-04,1,15
145,44,2014-09-04,3,51
146,28,2014-09-05,16,24
147,11,2014-09-05,1,55
148,45,2014-09-05,1,37
149,7,2014-09-05,3,37
150,52,2014-09-05,2,54
151,37,2014-09-05,1,59
152,34,2014-09-05,1,41
153,20,2014-09-05,8,6
154,28,2014-09-05,1,47
155,31,2014-09-05,1,32
156,11,2014-09-05,1,40
157,32,2014-09-05,2,21
158,5,2014-09-05,1,18
159,17,2014-09-05,2,48
160,13,2014-09-05,1,20
161,18,2014-09-05,2,30
162,54,2014-09-05,1,9
163,27,2014-09-05,1,40
164,47,2014-09-05,1,48
165,53,2014-09-05,1,56
166,25,2014-09-05,1,16
167,4,2014-09-05,1,31
168,21,2014-09-05,1,52
169,44,2014-09-05,1,10
170,21,2014-09-05,1,39
171,38,2014-09-05,2,50
172,51,2014-09-05,1,59
173,52,2014-09-05,3,11
174,24,2014-09-05,1,43
175,23,2014-09-05,1,7
176,54,2014-09-05,5,26
177,39,2014-09-05,1,18
178,45,2014-09-05,1,21
179,37,2014-09-05,1,11
180,55,2014-09-05,1,33
181,18,2014-09-05,2,48
182,12,2014-09-05,1,52
183,54,2014-09-05,1,20
184,31,2014-09-06,1,31
185,53,2014-09-06,1,23
186,12,2014-09-06,3,27
187,46,2014-09-06,1,45
188,44,2014-09-06,2,1
189,57,2014-09-06,3,3
190,33,2014-09-06,1,23
191,43,2014-09-06,1,40
192,24,2014-09-06,1,32
193,7,2014-09-06,1,36
194,56,2014-09-06,1,48
195,17,2014-09-06,1,31
196,36,2014-09-06,1,36
197,7,2014-09-06,3,53
198,51,2014-09-06,1,54
199,20,2014-09-06,1,57
200,47,2014-09-06,2,51
201,17,2014-09-06,1,49
202,14,2014-09-06,1,50
203,32,2014-09-06,3,55
204,17,2014-09-06,1,44
205,11,2014-09-06,1,55
206,32,2014-09-06,1,48
207,34,2014-09-06,1,14
208,8,2014-09-06,2,2
209,16,2014-09-06,1,23
210,44,2014-09-06,1,56
211,58,2014-09-06,1,51
212,7,2014-09-06,2,53
213,46,2014-09-06,1,43
214,57,2014-09-06,1,57
215,50,2014-09-06,1,23
216,19,2014-09-06,1,29
217,39,2014-09-06,1,46
218,58,2014-09-06,1,46
219,58,2014-09-06,1,17
220,21,2014-09-06,1,1
221,16,2014-09-06,4,12
222,10,2014-09-07,1,31
223,20,2014-09-07,1,22
224,31,2014-09-07,1,4
225,56,2014-09-07,1,42
226,31,2014-09-07,2,55
227,16,2014-09-07,7,27
228,3,2014-09-07,2,52
229,26,2014-09-07,1,46
230,52,2014-09-07,7,23
231,21,2014-09-07,1,37
232,8,2014-09-07,1,48
233,23,2014-09-07,11,24
234,38,2014-09-07,1,8
235,24,2014-09-07,1,17
236,42,2014-09-07,10,32
237,42,2014-09-07,1,36
238,34,2014-09-07,1,54
239,26,2014-09-07,3,20
240,28,2014-09-07,1,25
241,19,2014-09-07,1,3
242,35,2014-09-07,1,29
243,55,2014-09-07,2,45
244,9,2014-09-07,9,27
245,25,2014-09-07,3,29
246,13,2014-09-07,1,44
247,26,2014-09-07,2,18
248,8,2014-09-07,1,10
249,28,2014-09-07,1,31
250,57,2014-09-07,1,12
251,46,2014-09-07,2,20
252,56,2014-09-07,1,2
253,29,2014-09-07,3,53
254,37,2014-09-07,1,39
255,30,2014-09-07,1,20
256,7,2014-09-07,1,18
257,15,2014-09-07,1,41
258,30,2014-09-07,3,25
259,23,2014-09-07,1,40
260,57,2014-09-07,3,3
261,32,2014-09-07,1,30
262,20,2014-09-07,1,48
263,17,2014-09-07,1,55
264,48,2014-09-07,1,2
265,43,2014-09-07,1,10
266,10,2014-09-07,1,40
267,4,2014-09-07,2,54
268,46,2014-09-07,1,56
269,38,2014-09-07,1,27
270,11,2014-09-08,2,3
271,4,2014-09-08,2,40
272,7,2014-09-08,1,11
273,23,2014-09-08,1,2
274,11,2014-09-08,1,38
275,18,2014-09-08,1,2
276,12,2014-09-08,1,7
277,16,2014-09-08,1,58
278,11,2014-09-08,1,58
279,29,2014-09-08,1,37
280,47,2014-09-08,1,7
281,2,2014-09-08,1,42
282,32,2014-09-08,1,54
283,53,2014-09-08,1,45
284,23,2014-09-08,1,20
285,3,2014-09-08,2,38
286,9,2014-09-08,3,46
287,20,2014-09-08,1,5
288,10,2014-09-08,1,40
289,8,2014-09-08,1,24
290,14,2014-09-08,1,47
291,14,2014-09-08,1,38
292,8,2014-09-08,1,1
293,59,2014-09-08,2,56
294,20,2014-09-08,1,9
295,31,2014-09-08,1,5
296,41,2014-09-08,1,14
297,6,2014-09-08,1,1
298,8,2014-09-08,1,50
299,4,2014-09-08,1,7
300,56,2014-09-08,1,19
301,41,2014-09-08,1,6
302,6,2014-09-08,2,59
303,30,2014-09-08,1,52
304,28,2014-09-08,1,30
305,23,2014-09-08,1,17
306,60,2014-09-08,1,18
307,11,2014-09-08,2,4
308,49,2014-09-08,2,59
309,5,2014-09-08,4,35
310,25,2014-09-08,1,30
311,9,2014-09-08,1,41
312,12,2014-09-08,1,33
313,51,2014-09-08,1,30
314,44,2014-09-08,2,35
315,17,2014-09-08,2,51
316,30,2014-09-08,1,4
317,5,2014-09-08,1,48
318,22,2014-09-08,1,21
319,59,2014-09-08,1,15
320,38,2014-09-08,1,28
321,40,2014-09-08,1,35
322,19,2014-09-08,1,15
323,25,2014-09-08,1,12
324,60,2014-09-08,1,42
325,52,2014-09-08,1,57
326,58,2014-09-08,1,28
327,49,2014-09-08,2,15
328,47,2014-09-08,1,12
329,17,2014-09-08,1,50
330,46,2014-09-08,1,43
331,60,2014-09-08,4,27
332,18,2014-09-08,1,6
333,24,2014-09-08,2,14
334,49,2014-09-09,2,12
335,5,2014-09-09,3,30
336,22,2014-09-09,2,23
337,27,2014-09-09,1,43
338,10,2014-09-09,1,32
339,35,2014-09-09,1,25
340,59,2014-09-09,4,18
341,60,2014-09-09,2,35
342,11,2014-09-09,2,3
343,33,2014-09-09,1,25
344,24,2014-09-09,1,28
345,41,2014-09-09,1,43
346,17,2014-09-09,1,54
347,29,2014-09-09,1,60
348,11,2014-09-09,1,1
349,23,2014-09-09,1,47
350,44,2014-09-09,1,45
351,30,2014-09-09,7,25
352,4,2014-09-09,2,52
353,48,2014-09-09,3,18
354,26,2014-09-09,1,35
355,59,2014-09-09,1,55
356,17,2014-09-09,1,30
357,51,2014-09-09,1,44
358,5,2014-09-09,2,56
359,54,2014-09-09,3,38
360,29,2014-09-09,2,32
361,7,2014-09-09,1,18
362,20,2014-09-09,1,1
363,51,2014-09-09,2,59
364,17,2014-09-09,12,47
365,36,2014-09-09,2,38
366,51,2014-09-09,4,54
367,5,2014-09-09,1,18
368,43,2014-09-09,1,49
369,42,2014-09-09,6,9
370,28,2014-09-09,3,42
371,27,2014-09-09,1,51
372,34,2014-09-09,1,41
373,56,2014-09-09,1,43
374,14,2014-09-09,4,39
375,14,2014-09-09,2,58
376,26,2014-09-09,1,43
377,21,2014-09-09,2,53
378,52,2014-09-09,1,55
379,11,2014-09-09,1,5
380,30,2014-09-09,1,8
381,26,2014-09-09,1,47
382,34,2014-09-09,1,30
383,40,2014-09-09,1,11
384,59,2014-09-10,3,41
385,14,2014-09-10,2,34
386,15,2014-09-10,3,49
387,48,2014-09-10,1,20
388,50,2014-09-10,1,6
389,7,2014-09-10,2,28
390,58,2014-09-10,2,16
391,9,2014-09-10,1,37
392,9,2014-09-10,1,1
393,56,2014-09-10,2,49
394,31,2014-09-10,1,37
395,10,2014-09-10,3,42
396,21,2014-09-10,1,23
397,40,2014-09-10,2,22
398,19,2014-09-10,1,15
399,22,2014-09-10,5,17
400,9,2014-09-10,1,27
401,40,2014-09-10,1,41
402,12,2014-09-10,1,54
403,58,2014-09-10,1,58
404,54,2014-09-10,1,56
405,57,2014-09-10,1,55
406,44,2014-09-10,1,22
407,23,2014-09-10,1,35
408,47,2014-09-10,1,7
409,1,2014-09-10,2,15
410,57,2014-09-10,1,9
411,60,2014-09-10,3,49
412,22,2014-09-11,3,49
413,45,2014-09-11,1,13
414,48,2014-09-11,1,9
415,43,2014-09-11,1,43
416,29,2014-09-11,1,38
417,30,2014-09-11,1,38
418,19,2014-09-11,1,52
419,42,2014-09-11,1,13
420,50,2014-09-11,1,44
421,27,2014-09-11,17,9
422,31,2014-09-11,1,23
423,40,2014-09-11,1,20
424,9,2014-09-11,3,32
425,21,2014-09-11,1,26
426,25,2014-09-11,1,55
427,6,2014-09-11,1,56
428,56,2014-09-11,1,37
429,51,2014-09-11,1,33
430,53,2014-09-11,1,4
431,57,2014-09-11,1,25
432,5,2014-09-11,1,59
433,23,2014-09-11,1,12
434,33,2014-09-11,3,23
435,7,2014-09-11,1,52
436,49,2014-09-11,1,13
437,45,2014-09-11,2,35
438,4,2014-09-11,1,26
439,29,2014-09-11,3,16
440,56,2014-09-11,1,44
441,3,2014-09-11,2,38
442,18,2014-09-11,1,58
443,31,2014-09-11,1,11
444,37,2014-09-12,1,39
445,16,2014-09-12,1,20
446,26,2014-09-12,1,46
447,22,2014-09-12,1,22
448,57,2014-09-12,1,2
449,8,2014-09-12,3,13
450,5,2014-09-12,2,26
451,58,2014-09-12,1,17
452,27,2014-09-12,1,36
453,23,2014-09-12,1,51
454,11,2014-09-12,2,58
455,4,2014-09-12,1,32
456,40,2014-09-12,2,21
457,35,2014-09-12,1,2
458,60,2014-09-12,1,31
459,37,2014-09-12,1,15
460,4,2014-09-12,1,47
461,10,2014-09-12,1,39
462,29,2014-09-12,2,33
463,1,2014-09-12,2,41
464,27,2014-09-12,2,53
465,16,2014-09-12,1,5
466,57,2014-09-12,1,39
467,43,2014-09-12,1,32
468,10,2014-09-12,1,52
469,29,2014-09-12,1,16
470,42,2014-09-12,1,9
471,28,2014-09-12,3,22
472,58,2014-09-12,1,42
473,43,2014-09-12,1,12
474,24,2014-09-12,4,52
475,8,2014-09-12,1,45
476,15,2014-09-12,1,49
477,52,2014-09-12,1,15
478,27,2014-09-12,1,32
479,30,2014-09-12,2,21
480,42,2014-09-13,1,51
481,46,2014-09-13,1,34
482,10,2014-09-13,2,52
483,51,2014-09-13,1,60
484,57,2014-09-13,2,31
485,36,2014-09-13,1,28
486,31,2014-09-13,1,7
487,12,2014-09-13,1,5
488,1,2014-09-13,1,60
489,53,2014-09-13,1,45
490,9,2014-09-13,1,50
491,2,2014-09-13,1,49
492,57,2014-09-13,1,36
493,18,2014-09-13,1,50
494,10,2014-09-13,1,38
495,24,2014-09-13,1,14
496,28,2014-09-13,12,12
497,27,2014-09-13,1,17
498,32,2014-09-13,4,33
499,51,2014-09-13,1,13
500,4,2014-09-13,1,28
501,34,2014-09-13,1,5
502,42,2014-09-13,1,41
503,40,2014-09-13,4,40
504,40,2014-09-13,1,56
505,29,2014-09-13,1,36
506,59,2014-09-13,2,43
507,25,2014-09-13,1,15
508,51,2014-09-13,1,5
509,46,2014-09-13,1,55
510,32,2014-09-13,1,48
511,53,2014-09-13,1,23
512,29,2014-09-14,2,59
513,1,2014-09-14,3,10
514,44,2014-09-14,4,39
515,43,2014-09-14,1,7
516,12,2014-09-14,4,57
517,39,2014-09-14,1,8
