"","id","from_id","post_id","owner_id","text","date","likes.count","likes.user_likes","likes.can_like","thread.count"
"1",5987735,279511195,5987734,-17568841,"это войдет в историю...",1584736560,1,0,1,0
"2",5987737,543303455,5987734,-17568841,"Народец надо ж успокоить
Любой ценой чтоб не сорвать
Когда уж нам таки позволят
Его на царство выбирать",1584736994,3,0,1,0
"3",5987738,301095571,5987734,-17568841,"Чем больше ляжет стариков - тем меньше платить пенсий, всё просто",1584737038,4,0,1,0
"4",5987739,135142944,5987734,-17568841,"Суд в Гааге",1584737268,19,0,1,6
"5",5987740,422456539,5987734,-17568841,"",1584737451,0,0,1,0
"6",5987745,NA,NA,NA,NA,1584737839,NA,NA,NA,4
"7",5987759,252620307,5987734,-17568841,"Общенародное голосование против поправок в Конституцию

https://www.change.org/p/%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F-%D1%84%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D1%8F-%D0%BE%D0%B1%D1%89%D0%B5%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B5-%D0%B3%D0%BE%D0%BB%D0%BE%D1%81%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2-%D0%BF%D0%BE%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D0%BA-%D0%B2-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%86%D0%B8%D1%8E-632e5b92-141e-4e9d-bbc8-7174e1993295",1584738928,4,0,1,2
"8",5987775,84172554,5987734,-17568841,"Турция показала чего стоит путинская армия.
Саудовская Аравия показала чего стоит путинская экономика.
А коронавирус покажет чего стоит путинская медицина",1584739959,6,0,1,2
"9",5987786,92668977,5987734,-17568841,"Хуавей мобильник - не работает 
Google отключил работу ПО Андроид 
Вопрос к Google что делать пользователям 
Отказываться от Google Сервисов в мире на всех девайсах 
Потому-то до первого каприза Google не будут работать 
Windows Apple Samsung HP Oracle SAP Avtodesk Opera Facebook F5
GDPR 152-ФЗ не работает в мире интернета на земле 
Глобальный сбой Корона Вирус Апокалипсис в цифре 
Теневая экономика воспользовалась туманом в интернете 
Вопрос кто сможет противостоять угрозам без личной выгоды",1584740843,0,0,1,0
"10",5987798,20611854,5987734,-17568841,"",1584745035,2,0,1,0
"11",5987806,111620683,5987734,-17568841,"",1584746914,0,0,1,0
"12",5987822,542027707,5987734,-17568841,"",1584753585,1,0,1,0
"13",5987826,42949831,5987734,-17568841,"Уже начали организовывать надомное голосование. Так что нарисуют сколько нужно.",1584755061,0,0,1,3
"14",5987831,325106013,5987734,-17568841,"Интересные и профессиональные ""объяснения"" в стиле: ""у меня этих данных нет, я не знаю"". Уровень кликбейта растёт прямо на глазах, ну и без ""по нашим данным"" взятых неизвестно откуда тоже не обошлось, старое доброе тоже не забываете.",1584756785,0,0,1,2
"15",5987870,176173711,5987734,-17568841,"Ох, как корону  одеть то хочеться!",1584766200,1,0,1,0
"16",5987934,87094274,5987734,-17568841,"Эти действия показывают отношения власти к российскому народу!",1584771754,0,0,1,0
"17",5987959,581050522,5987734,-17568841,"Туберкулезников в России гораздо больше и далеко не все сидят в больничках и лечатся. И чего теперь, из-а них тоже все мероприятия переносить и отменять? Чем коронавирус-то такого заслужил?",1584773601,0,0,1,0
"18",5987988,2561283,5987734,-17568841,"Один большой цирк🤡",1584774223,0,0,1,0
"19",5987992,507538438,5987734,-17568841,"Торопятся узаконить свои шуры муры в конституции!",1584774453,2,0,1,2
"20",5988018,565079328,5987734,-17568841,"Его ещё могут перенести, не стоит нагонять панику",1584774891,0,0,1,0
"21",5988037,578535875,5987734,-17568841,"а вы всё насчёт голосования успокоиться не можете?)
если ситуация ухудшится - перенесут. уже обсуждали этот вопрос вчера",1584775310,0,0,1,0
"22",5988218,572156561,5987734,-17568841,"да ведь говорили. что можно и удаленно проголосовать, так что проблем не будет. Фишман может не беспокоиться",1584781154,0,0,1,0
"23",5988295,10325473,5987734,-17568841,"Путен-латент)",1584785341,0,0,1,0
"24",5988373,502067258,5987734,-17568841,"23-его апреля коронавирус в России будет побежден.",1584789787,0,0,1,0
"25",5988942,574085907,5987734,-17568841,"как вообще связано одно с другим...голосование все ранво будет",1584856620,0,0,1,0
"26",5989267,579252988,5987734,-17568841,"вот именно, и еще не факт, состоится ли оно",1584874609,0,0,1,0
"27",5997317,213284352,5997314,-17568841,"Как можно снизить то, чего толком то и не было?",1585384735,40,0,1,10
"28",5997321,145801047,5997314,-17568841,"Терешкова великий человек!",1585384827,2,0,1,13
"29",5997322,30899826,5997314,-17568841,"""То что мертво умереть не может""",1585384845,1,0,1,0
"30",5997324,316680113,5997314,-17568841,"поправки уже приняли и они вступили в силу!!!!!!!!!!!!!!!!!!!!",1585384858,1,0,1,0
"31",5997327,536047578,5997314,-17568841,"",1585384878,1,0,1,0
"32",5997328,560344078,5997314,-17568841,"6 лет подряд устойчиво падает уровень жизни,он бесконечно врет и плюет на людей.Людям не интересна его внешнеполитическая повестка:кругом враги,военные авантюры без конца.",1585384886,15,0,1,5
"33",5997329,531563857,5997314,-17568841,"Зачем диктатору рейтинг?",1585384897,8,0,1,0
"34",5997337,364267125,5997314,-17568841,"Усталость - это не то слово. Тошнит уже...🤢",1585384951,4,0,1,0
"35",5997338,336265214,5997314,-17568841,"))) Опять решили пообсуждать очередное ""падение"" рейтинга Путина. Не надоело мечтать? )",1585384971,3,0,1,1
"36",5997349,39448605,5997314,-17568841,"Я вообще удивляюсь, что у него есть рейтинг!!!!
Все развалить, со всеми посориться, довести народ до нищеты , и у него есть рейтинг!!!! Поразительно!!!!
https://m.vk.com/club27855696#wall",1585385174,2,0,1,0
"37",5997350,346416897,5997314,-17568841,"у меня полно знакомых и друзей, это люди образованные , взрослые и не бедные , среди них путина не поддерживает ни один , о каком рейтинге вообще идёт речь?",1585385176,16,0,1,5
"38",5997358,560344078,5997314,-17568841,"Блевада периодически на контрактах с кремлевскими,какое им доверие...По ощущениям,но 15-20%.Это разные подментованные и откровенно умственноотсталые в большинстве своем-это его электорат.",1585385394,1,0,1,0
"39",5997359,51094439,5997314,-17568841,"Новый нам нарисуют рейтинг, не впервой им.",1585385447,0,0,1,2
"40",5997367,2105548,5997314,-17568841,"«Если ситуация не улучшится, рейтинги будут падать и дальше. Глубину этой мысли трудно переоценить",1585385774,1,0,1,1
"41",5997368,453997511,5997314,-17568841,"Все верно сказала,молодец что не побоялась Дай ей Бог здоровье и долгих лет жизни 🙏🏻🙏🏻🙏🏻",1585385779,1,0,1,0
"42",5997372,22192367,5997314,-17568841,"Опять путинозависимые двухпроцентные сорособоты  обсуждают рейтинг своего божества.",1585385857,0,0,1,6
"43",5997379,294479526,5997314,-17568841,"После принятия пенсионной реформы вроде тоже снизился. Ну и что это изменило. А сейчас уже все полностью смирились и никто даже не вякает. Так будет и с обнулением. Да, честно говоря, я не вижу особых возмущений по этому поводу, в том кругу, в котором я вращаюсь. Всем как-то пофиг. Нашему народу хоть кого посади на престол, со всем будут  согласны.",1585386024,1,0,1,0
"44",5997383,70825137,5997314,-17568841,"Вот потому голосование и отодвинули подальше, а потом вообще похерят за ненадобностью - де-факто уже конституцию отпердолили как Путин хотел. И коронавирус лишь удобный повод",1585386062,0,0,1,0
"45",5997393,580361023,5997314,-17568841,"Терешкова все правильно сделала. Высказала то, о чем многие думают. Ни о каком падении рейтинга здесь даже и говорить нет смысла, а наоборот. Сильная женщина, была, есть и будет. И предложение ее тоже в силе.",1585386299,1,0,1,2
"46",5997453,456646878,5997314,-17568841,"Великий Путин за этот месяц успел так накосячить, как не косячил за прошедшие полгода.
Косяк с Терешковой
Косяк с рублём.
Косяк с коронавирусом.
Видимо устал(работа то каторжная) и пора на отдых.
Я не про то что подумали все... Просто пора  отдохнуть по человечески....",1585388085,0,0,1,0
"47",5997455,12364819,5997314,-17568841,"Отчасти это правда,но по факту к примеру я все равно буду голосовать за него,у каждого политика есть ядерный электорат думаю что не смотря на то что рейтинг упал он все равно выше чем у любого другого политика в стране,так что либерасты все равно будут в пролете.",1585388181,0,0,1,0
"48",5997456,560344078,5997314,-17568841,"На счет мнения некоторых...ничего не изменится,будут тихо ныть и терпеть.Вот путин бы с вами не согласился,власть-это его все и за этим он следит очень внииательно.Был бы уверен в себе,то не развел бы такое стадо жандармов(невиданное нигде в нормальном мире число ментов и разных подментованных на 1000 чителей),не устраивал репрессии по пустячным протестам.Боится он и шобла его очень.",1585388211,0,0,1,0
"49",5997476,572156561,5997314,-17568841,"Вообще-то после обращения у него, наоборот, растет рейтинг",1585388943,0,0,1,0
"50",5996260,461340610,5996252,-17568841,"Не дождетесь. До 9 мая проведем и примем поправки в Конституцию. Народ России.",1585308781,5,0,1,8
"51",5996262,84594908,5996252,-17568841,"Он сдохнет быстрей",1585308899,0,0,1,0
"52",5996263,213583959,5996252,-17568841,"Думает валить надо пока не поздно",1585308901,0,0,1,1
"53",5996264,54923596,5996252,-17568841,"медным тазом накрывается обнуление ?😉",1585308961,1,0,1,0
"54",5996298,282586848,5996252,-17568841,"Обновлённой Конституции - БЫТЬ!",1585310608,2,0,1,9
"55",5996302,551148471,5996252,-17568841,"Виталий Лопота ущерб на 9 миллиардов Роскосмосу",1585310801,3,0,1,0
"56",5996313,315958293,5996252,-17568841,"Опрос Левада центр:48%－за, 47% против... не важно, на вторых выборах победил Зюга, а не Ельцин, так что нужные циферки ВЦИОМ нарисует и тут.",1585311437,0,0,1,0
"57",5996448,5480012,5996252,-17568841,"К а к о й там в о п р о с ... Путин проникся Пре-Мудростью и Про-Зрением С ы н а Неба , который П и с ь м о напЕсал О т ц у России по этому поводу / Форум ТВС ... Б о г о д а н н а я тема ""Президент России по версии ""вконтакте"" ВИСЛОГУЗОВ ПАВЕЛ ИВАНОВИЧ"" ... / - всё с л и т о ! Павел.",1585319332,0,0,1,0
"58",5996822,15063058,5996252,-17568841,"Валерий Соловей об обращении Путина к нации, в котором он ""не выглядел"" 
https://www.youtube.com/watch?v=2x9d4nHiZVA",1585337490,0,0,1,0
"59",5995604,16928554,5995603,-17568841,"Они в думе свои опросы проводят что ли? Ни один из моих знакомых не ""за""",1585285824,122,0,1,19
"60",5995605,3938887,5995603,-17568841,"Кто ее одобряет кроме кремлеботов?",1585285851,67,0,1,6
"61",5995608,88673736,5995603,-17568841,"В итоге нарисуют 70%явки и 85%за",1585285933,25,0,1,0
"62",5995609,435991973,5995603,-17568841,"за только ватаны и жопализы плешивого",1585285974,15,0,1,2
"63",5995610,453214917,5995603,-17568841,"",1585286041,1,0,1,0
"64",5995612,453214917,5995603,-17568841,"",1585286056,1,0,1,1
"65",5995613,76691066,5995603,-17568841,"",1585286116,2,0,1,0
"66",5995618,2682374,5995603,-17568841,"То что, Левада-Центр, представляет сомнительную статистику, стало ясно после получения ними кремлевского гранта! Да и от написания цифры 48%, суть не изменится! Все сознательные граждане России —против изменений в нашей потрясающей конституции, образца 1993 года! Хватит издеваться над главным законом страны! Лучше боритесь с реальной угрозой— COVID19! А то электората дяди Вовы заметно поубавится!",1585286345,13,0,1,2
"67",5995621,170270271,5995603,-17568841,"Путину ещё 4 года править , а они уже об обнулении думают , через 4 года может и России уже не будет",1585286488,11,0,1,11
"68",5995625,8184032,5995603,-17568841,"Да кто это большинство, которое ""за""??? Среди множества моих знакомых, таких единицы! И это наиболее недалёкие личности. 🤷‍♂️",1585286843,7,0,1,0
"69",5995626,101506035,5995603,-17568841,"Посл этого путлер скажет им пересчитать по ""новой системе "", где за поправку будут 78%",1585286870,2,0,1,1
"70",5995627,540248016,5995603,-17568841,"Откуда данные, опроса вроде небыло",1585286887,0,0,1,1
"71",5995628,29329824,5995603,-17568841,"яндекс район мой ))",1585286928,2,0,1,0
"72",5995631,26661101,5995603,-17568841,"Судя потому кто против и кто их поддерживает. И по тому что это не нравится западу. Стоит поддержать, на пользу пойдет. Запад как лакмусовая бумажка. Когда он хвалил президента России мы по миру побирались прося денег и поесть. Гуманитаркой питались. Теперь западу президент не нравится и мы без долгов и кормим себя практически сами. Так что я за того президента который западу поперек горла. Сильная , свободная, способная отстаивать свои интересы Россия западу не нужна. Нам нужна.",1585287263,3,0,1,5
"73",5995634,230757204,5995603,-17568841,"Не понимаю почему люди судят по своим знакомым — логично же, что вы общаетесь с людьми своего мировоззрения. Старшее поколение-то за, им там и память предков, и обязательную индексацию пенсии (замороженную с 14 года) записали, и бога

У Левады вообще хорошие опросы. У меня знакомому звонили как раз с таким опросом, не знаю только Левада ли или ВЦИОМ. Да даже по опросам последнего можно делать выводы, если смотреть на то, как вопрос был задан",1585287589,2,0,1,5
"74",5995638,561843228,5995603,-17568841,"Бедные хомяки, никак не могут поверить, что кроме них в России ещё достаточно адекватных людей.",1585287778,1,0,1,0
"75",5995639,309090026,5995603,-17568841,"",1585287845,0,0,1,0
"76",5995640,309090026,5995603,-17568841,"Произошло переключение внимания! Перенос дня голосования по поправкам в конституцию связан не столько с пандемией коронавируса, сколько с массовым протестным настроением российского населения.",1585287881,2,0,1,1
"77",5995643,552965820,5995603,-17568841,"Под шумок -пикают нам в уши!",1585288185,0,0,1,0
"78",5995655,883915,5995603,-17568841,"Нет ни одного знакомого который за. Все только против. Откуда такие данные?",1585288844,9,0,1,2
"79",5995670,507538438,5995603,-17568841,"Мы против обнуления! Власть должна меняться , что бы не было коррупции!",1585289222,6,0,1,4
"80",5995674,396424613,5995603,-17568841,"99.9% Россиян не знают кто такие блювада-центр,даже ни разу не слышали",1585289311,1,0,1,0
"81",5995683,10380169,5995603,-17568841,"Не важно как голосуют, важно как считают🤣",1585289606,0,0,1,0
"82",5995690,121108992,5995603,-17568841,"всю вышку к растрелу",1585289771,1,0,1,0
"83",5995699,13450143,5995603,-17568841,"...но 86% все равно проголосуют За.",1585290010,0,0,1,0
"84",5995716,65630863,5995603,-17568841,"Умные люди явно понимают для чего это все",1585290785,2,0,1,0
"85",5995729,10325473,5995603,-17568841,"Там 80 против, 20 за!!!!!!!!!",1585291615,1,0,1,0
"86",5995752,435038032,5995603,-17568841,"Весь смысл поправок в одной картинке",1585292679,0,0,1,0
"87",5995759,86140357,5995603,-17568841,"катастрофа! надо добиваться любыми способами 76%...",1585292771,0,0,1,0
"88",5995765,131911817,5995603,-17568841,"Враньё! Не верю",1585293019,1,0,1,0
"89",5995766,548921169,5995603,-17568841,"",1585293055,0,0,1,2
"90",5995774,154310021,5995603,-17568841,"ПРОТИВ!!!",1585293281,2,0,1,0
"91",5995799,10325473,5995603,-17568841,"Против, однозначно!",1585294194,1,0,1,0
"92",5995827,373586333,5995603,-17568841,"*нутых аж половина 😂",1585295272,0,0,1,0
"93",5995852,100692643,5995603,-17568841,"Блевада не тех опрашивал.",1585296484,0,0,1,0
"94",5995876,560344078,5995603,-17568841,"Блеваде сейчас самое подлое...то есть подходящее время бабло с кремлевских поднять...подлецы что.",1585297453,0,0,1,0
"95",5995918,273716274,5995603,-17568841,"Позитивные эмоции у 31%, негативные — у 36%- этот показатель важнее.",1585299116,0,0,1,17
"96",5995933,272962597,5995603,-17568841,"Если в старой мало чего исполнялось то в новой и подавно не будет",1585300143,0,0,1,0
"97",5995958,167495151,5995603,-17568841,"Как в анекдоте,есть плохая новость 60% против,есть хорошая 90% за",1585301083,0,0,1,0
"98",5995993,578535875,5995603,-17568841,"лол, так и критикуют также меньше половины россиян)
обожаю заголовки, связанные с Левада-центром) как только не исхитрятся, лишь бы людей надурить)",1585301971,0,0,1,0
"99",5996000,185026455,5995603,-17568841,"Как говаривал Козьма Прутков - ""Единожды солгавши, кто тебе поверит?"" А эта ""Левада"" таки их своры многобрехливых.... Референдум всё покажет и расставит все точки над алфавитом...",1585302053,0,0,1,0
"100",5996057,25530361,5995603,-17568841,"Отлично.а 20% натянут и будет 70 и вполне хватит для легитимности.дураков в россии всегда было много",1585303195,1,0,1,0
"101",5996149,16299222,5995603,-17568841,"Нормальные люди ЗА, майданутое болото против",1585305383,0,0,1,0
"102",5996164,61696253,5995603,-17568841,"Опрос от БЛЕВАДА-центра?
Это мощно 😂😂😂
Пойду блевану на этот центр 😄😄😁",1585305685,1,0,1,0
"103",5996330,207258872,5995603,-17568841,"А сколько человек поучаствовало в опросе?😂",1585312568,0,0,1,0
"104",5996483,5480012,5995603,-17568841,"Наверное опрашивающие залезли в гипоталамус россиян ? Где отвечают за гомеостаз популяции ... Н е знаю ч т о это в с ё означает - но это т а часть мозга , которая от птеродактЕлей нам досталась . Павел.",1585320812,0,0,1,0
"105",5996721,118915964,5995603,-17568841,"""За"" только Машков, Газманов и Безруков",1585334154,1,0,1,1
"106",5997467,12364819,5995603,-17568841,"Это же ливада иностранный агент по любому врут.",1585388674,0,0,1,0
"107",5995261,280565185,5995252,-17568841,"Вы уже определитесь наконец... Путин типа уехал в свою резиденцию от коронавируса - плохо, Путин на передовой - тоже плохо... Вы совсем уже на Дожде сноровку потеряли от постоянных провалов.",1585247599,9,0,1,14
"108",5995265,333672624,5995252,-17568841,"Он давно в бункере тройники ещё остались🤣🤣🤣",1585247754,0,0,1,0
"109",5995266,358388834,5995252,-17568841,"власть ограничивается полимерами",1585247806,0,0,1,0
"110",5995271,4418806,5995252,-17568841,"Таратута и Горбунов - политические эксперты",1585248067,0,0,1,0
"111",5995308,177219358,5995252,-17568841,"кароновирус нннннадо?🤣",1585250186,0,0,1,0
"112",5995340,177219358,5995252,-17568841,"уйдёт от тебя девушка(если и даже есть😈",1585251831,0,0,1,0
"113",5995362,586753022,5995252,-17568841,"У вас с головой все в порядке? Путин ничего не делает и не говорит плохо,Путин говорит и делает опять плохо. Вы идиоты?",1585253886,2,0,1,1
"114",5995446,558033794,5995252,-17568841,"[id586753022|Zloe], о,опять чучело не пьющее с соратниками",1585262048,0,0,1,6
"115",5995538,565082218,5995252,-17568841,"надеюсь Сталингулаг скоро с вирусом сляжет",1585274227,0,0,1,1
"116",5995021,588363448,5995020,-17568841,"Представитель ВОЗ Мелита Вуйнович на пресс-конференции в Москве заявила, что ""применяемые Россией меры по коронавирусу замечательные"".

Офтальмолог из ""Альянса врачей"", ставящая диагнозы через дверную щель, с ней в корне не согласна.",1585233166,0,0,1,0
"117",5995029,5480012,5995020,-17568841,"Л о н д о н ... У нас - своей сволочи хватает !!! Одно МГЫМО и его выпускники чего с т о я т !!! Павел.",1585233443,0,0,1,0
"118",5995030,342839692,5995020,-17568841,"Зато оппы вместе с коммунистами орали, что их незаконные митинги разгоняют, чтобы люди не пострадали из-за вируса, а голосование не отменят. Обломились либералы, пиариться на этом больше не получится.",1585233516,3,0,1,0
"119",5995035,560344078,5995020,-17568841,"Фестиваль у него будет на том свете...когда будет смотреть,как его род проклятый со всем потомством загнется.",1585233720,0,0,1,0
"120",5995037,71978091,5995020,-17568841,"Это не поправки к Конституции, это Конституционный  ПЕРЕВОРОТ.",1585233809,13,0,1,0
"121",5995041,425680307,5995020,-17568841,"народ должен поставить условия, обнуление срока после обнуления всех кредитов у народа",1585234063,2,0,1,1
"122",5995054,461340610,5995020,-17568841,"Из Лондона оно конечно виднее, что России делать🤦‍♂️",1585234475,0,0,1,0
"123",5995060,548921169,5995020,-17568841,"",1585234785,0,0,1,0
"124",5995068,33059193,5995020,-17568841,"Дождь такой дождь🤦‍♂️",1585235337,0,0,1,0
"125",5995070,191564453,5995020,-17568841,"Даже природа против его поганых поправок. 🙄",1585235455,2,0,1,0
"126",5995095,542027707,5995020,-17568841,"",1585237159,0,0,1,0
"127",5995097,542027707,5995020,-17568841,"",1585237210,0,0,1,0
"128",5995098,542027707,5995020,-17568841,"",1585237240,0,0,1,0
"129",5995128,585424184,5995020,-17568841,"Если кто не вкурил дурачью еще налоги в 13% на вклады в банках ввел, старческая деменция еще раз за щеку получит от вождя!))",1585239663,0,0,1,0
"130",5995138,31244175,5995020,-17568841,"Вирус тут был ни при чем. Он тупо делает то, что умел делать лучше всех! Бабки отжимать.",1585240825,0,0,1,0
"131",5995231,85916756,5995020,-17568841,"Вечное либеральное нытье. И так не так, и так не эдак. Ноет либерал, значит В. В. все правильно делает",1585246175,0,0,1,0
"132",5993751,6910255,5993747,-17568841,"Средний класс - кто получает больше 17т. Мужик сказал - мужик сделал)",1585152185,5,0,1,2
"133",5993757,548921169,5993747,-17568841,"",1585152342,8,0,1,5
"134",5993759,16154219,5993747,-17568841,"Путин крут, мы давно этого ждали, хорошо что у нас такой президент",1585152360,7,0,1,8
"135",5993761,335380120,5993747,-17568841,"",1585152455,1,0,1,0
"136",5993763,121108992,5993747,-17568841,"да уж будет полная жопа",1585152517,1,0,1,0
"137",5993770,168828571,5993747,-17568841,"будут платить 5 000 рэ тем у кого есть материнский капитал . эт циганам ?",1585152908,0,0,1,0
"138",5993771,154811084,5993747,-17568841,"",1585152981,3,0,1,0
"139",5993775,560344078,5993747,-17568841,"Короче,они сами в ступоре полном)Привыкли нефтегазовые деньги стричь,по ушам ездить...Больше это не работает,а работать они и не умели никогда.Все...приехали...станция конечная-просьба путинской шобле освободить вагоны.",1585153061,1,0,1,0
