"format_id","format_name"
"17","Address"
"12","Audio"
"50","Bath"
"53","Betamax"
"51","Big"
"26","Board"
"13","Book"
"41","Boxed"
"7","CD"
"4","Calendar"
"10","Cards"
"36","Copymasters"
"33","Counterpack"
"44","DAT"
"28","DVD"
"11","Diary"
"37","Digital"
"45","Diskette"
"9","Downloadable"
"48","Dumpbin"
"56","Foam"
"31","Fold"
"54","Frieze"
"6","Game"
"25","General"
"24","Globe"
"2","Hardback"
"32","Kit"
"14","Leather"
"20","Loose"
"40","Microfilm"
"23","Miscellaneous"
"22","Mixed"
"35","Multiple"
"8","Notebook"
"21","Novelty"
"47","OHP"
"38","Online"
"27","Other"
"5","Pamphlet"
"1","Paperback"
"42","Part"
"52","Pictures"
"19","Postcard"
"30","Poster"
"15","Pre"
"43","Record"
"18","Sheet"
"57","Shrink"
"3","Spiral"
"55","Stickers"
"16","Toy"
"46","Trade"
"29","Undefined"
"39","VHS"
"49","Video"
"34","Wallchart"
