"place_id","place_name"
"5996","(56 Bourne Way, Hayes, Kent), United Kingdom"
"619","), United Kingdom"
"4307","0, United States"
"3488","189, United States"
"4601","204, United States"
"4602","205, United States"
"5234","206"
"4600","206, United States"
"5233","216, United States"
"849","237, United States"
"6269","241, United States"
"4555","258"
"2213","75004 Paris, France"
"4936","75191 Paris, France"
"3492","A Coruna, Spain"
"5262","A Coruna, United States"
"4055","AL, United States"
"193","AR, United States"
"4743","ARDLEIGH, United Kingdom"
"2083","AX, Netherlands"
"1645","AZ, United States"
"914","Aachen, Germany"
"5480","Aarau, Switzerland"
"109","Aarhus, Denmark"
"3040","Abberton, United Kingdom"
"2244","Abbeville, United States"
"3567","Abbotsford, United States"
"4677","Abbotsford, VIC, Australia"
"2290","Aberdeen, NJ, United States"
"665","Aberdeen, United Kingdom"
"5024","Aberdeenshire, United Kingdom"
"5332","Aberfeldy, United Kingdom"
"3473","Abergale, United Kingdom"
"4777","Abergavenny, United Kingdom"
"3637","Abergele, United Kingdom"
"6475","Aberglasslyn, NSW, Australia"
"1929","Aberporth, United Kingdom"
"1971","Abertillery, United Kingdom"
"1860","Aberystwyth, United Kingdom"
"2091","Abilene, TX"
"3504","Abilene, TX, United States"
"2679","Abilene, United States"
"186","Abingdon, United Kingdom"
"2300","Abington, United Kingdom"
"2729","Abington, United States"
"941","Abu Dhabi, United Arab Emirates"
"3780","Accra, Ghana"
"1851","Accrington, United Kingdom"
"6000","Achen, Germany"
"2557","Acocks Green, United Kingdom"
"3309","Acton, MA, United States"
"312","Ada, MI, United States"
"3162","Addison, TX, United States"
"379","Addlestone, United Kingdom"
"4084","Address not currently available, United Kingdom"
"3667","Address not currently available., United Kingdom"
"6103","Adeladie, SA, Australia"
"4926","Adelaide Airport, Australia"
"433","Adelaide, Australia"
"2206","Adelaide, SA, Australia"
"5356","Adelphi, Md."
"3003","Afton, United States"
"4347","Agnes Water, QLD, Australia"
"5175","Agoura Hills, United States"
"5474","Agra, India"
"1453","Ahmedabad, India"
"3348","Ajax, Canada"
"5453","Akeley, United Kingdom"
"6258","Akersberga, Sweden"
"6451","Akron, OH"
"896","Akron, OH, United States"
"6517","Akron, Ohio, United States"
"4893","Akron, United States"
"5848","Akure, Nigeria"
"340","Alabama, United States"
"862","Alabaster, United States"
"5328","Alachua, United States"
"2548","Alagón, Zaragoza, Spain"
"3986","Alameda, CA"
"578","Alameda, CA, United States"
"6473","Alamo, United States"
"5497","Albania"
"481","Albany, GA"
"5819","Albany, NY, Canada"
"357","Albany, NY, United States"
"5031","Albany, New Zealand"
"2066","Albany, United States"
"2855","Albany, WA, United Kingdom"
"397","Alberta, Canada"
"3409","Alberta, United States"
"2001","Albion, United States"
"873","Albuquerque, NM, United States"
"1587","Albuquerque, United States"
"2272","Alcalá la Real, Spain"
"158","Alcester, United Kingdom"
"3029","Aldborough, United Kingdom"
"5505","Aldenham, United Kingdom"
"2689","Alderholt, United Kingdom"
"3017","Aldermaston, United Kingdom"
"614","Alderney, United Kingdom"
"161","Aldershot, England, United Kingdom"
"632","Aldershot, United Kingdom"
"6024","Aldwick, United Kingdom"
"4160","Alessandria, Italy"
"3405","Alexadria, VA, United States"
"2830","Alexander, United States"
"2654","Alexandria, Australia"
"3640","Alexandria, LA, United States"
"4879","Alexandria, NSW, Australia"
"1610","Alexandria, United Kingdom"
"1302","Alexandria, United States"
"352","Alexandria, VA, United States"
"5726","Alexandria, Virginia"
"6373","Alexandria, Virginia, United States"
"5542","Alfredon, United Kingdom"
"2613","Alfreton, United Kingdom"
"5329","Alfriston, United Kingdom"
"3671","Algemesí, Spain"
"1646","Alhambra, CA, United States"
"1086","Alicante, Spain"
"3042","Alice Springs, Australia"
"3226","Allen Park, Mich"
"3204","Allen, TX, United States"
"5547","Allen, United States"
"2821","Allenhurst, N.J., United States"
"2805","Allenhurst, NJ, United States"
"5680","Allentown, PA, United Kingdom"
"5452","Allison"
"4724","Alloway, United Kingdom"
"6251","Allschwil, Switzerland"
"1861","Alpedetre, Spain"
"4212","Alpedetre, United States"
"1571","Alpharetta, GA, United States"
"5779","Alpharetta, United States"
"5430","Alpine, United States"
"2451","Alresford, United Kingdom"
"3952","Alrewas, United Kingdom"
"4410","Alston, United Kingdom"
"3807","Altadena CA, United States"
"5255","Altadena, CA, United States"
"4278","Altamonte Springs, FL, United States"
"5417","Altamonte Springs, United States"
"5718","Alton, Hants, United Kingdom"
"3306","Alton, United Kingdom"
"5660","Altona, VIC"
"4670","Altrincham, United Kingdom"
"4853","Alvaro Obregon, Mexico"
"4277","Alvechurch, United Kingdom"
"4998","Alverstoke, United Kingdom"
"2961","Alveston, United Kingdom"
"3770","Amarillo, TX, United States"
"4581","Ambleside, United Kingdom"
"3838","Amerherst, United States"
"2891","Amersfoort, Netherlands"
"552","Amersham, United Kingdom"
"2754","Amersterdam, Netherlands"
"1077","Ames, IA, United States"
"2473","Amherst, MA, United States"
"489","Amherst, United States"
"3636","Amington, United Kingdom"
"6482","Amity Point, QLD, Australia"
"77","Amityville, United States"
"3911","Amman, Jordan"
"2950","Amstelveen, The Netherlands, Netherlands"
"4895","Amsterdam"
"230","Amsterdam, Netherlands"
"2774","Amsterdam, Netherlands, Netherlands"
"1181","Amsterdam, Netherlands, United States"
"4841","Amsterdam, United Kingdom"
"686","Amsterdam, United States"
"6448","An Spideal, Ireland"
"4990","Anacortes, United States"
"2649","Anaheim, CA, United States"
"1713","Ancaster, Canada"
"5562","Anchoage, AK"
"1686","Anchorage, United States"
"4194","Andelfingen, Switzerland"
"1230","Andover, Hampshire, United Kingdom"
"495","Andover, United Kingdom"
"6200","Anglesea, VIC, Australia"
"5966","Anglesey, United Kingdom"
"3046","Angus, United Kingdom"
"5513","Anixis Attikis, Greece"
"765","Ann Arbor MI, United States"
"5450","Ann Arbor, MI, United Kingdom"
"950","Ann Arbor, MI, United States"
"4514","Ann Arbor, Michigan, United States"
"262","Ann Arbor, United States"
"473","Ann Arbour, United States"
"1052","Annandale, Australia"
"560","Annandale, NSW, Australia"
"4028","Annapolis, MD, United States"
"5962","Annecy, France"
"35","Annopolis, United States"
"1135","Anstey, Leics, United Kingdom"
"2447","Anstey, United Kingdom"
"323","Antsey, United Kingdom"
"789","Antwerp, Belgium"
"4595","Antwerp, Netherlands"
"5005","Antwerpen, Belgium"
"6219","Apelern, Germany"
"2742","Apex, NC, United States"
"432","Apopka, FL, United States"
"1662","Appleby, United Kingdom"
"6453","Applecross, WA, Australia"
"1446","Aptos, United States"
"1616","Araucanio, Chile"
"1081","Arcadia, South Africa"
"515","Arcata, CA, United States"
"4827","Arcata, United States"
"5515","Arcidosso, Italy"
"3946","Ardtornish, United Kingdom"
"843","Argentina"
"5633","Argentina, Spain"
"4417","Argyll, United Kingdom"
"2202","Arhus N, Denmark"
"5121","Arhus, Denmark"
"1875","Arizona"
"820","Arizona, United States"
"5572","Arklow, Ireland"
"4927","Arles, France"
"6339","Arlesey, United Kingdom"
"5711","Arlington Heights, United States"
"1075","Arlington, United States"
"3585","Arlington, VA, United Kingdom"
"3975","Arlington, VA, United States"
"1170","Armadale, VIC, Australia"
"1144","Armidale, Australia"
"2895","Armidale, NSW, Australia"
"6014","Armley, United Kingdom"
"442","Armonk, United States"
"1207","Arnes, AI, United Kingdom"
"815","Arnes, AI, United States"
"2586","Arnhem, Netherlands"
"147","Arsta, Sweden"
"3884","Artamon, NSW, Australia"
"5571","Artarmon, Australia"
"3749","Arthurdale, United States"
"11","Arundel, United Kingdom"
"1027","Arundel, West Sussex, United Kingdom"
"5178","Arzignano, Italy"
"1480","Ascot, United Kingdom"
"1816","Ashbourne, United Kingdom"
"1789","Ashburnham, United Kingdom"
"3310","Ashburton, VIC, Australia"
"4809","Asheville, NC, United States"
"154","Asheville, United States"
"795","Ashford, United Kingdom"
"5939","Ashington, United Kingdom"
"4164","Ashland, OH, United States"
"2464","Ashland, OR"
"2959","Ashland, OR, United States"
"2354","Ashland, Or."
"2358","Ashland, Or., United States"
"2461","Ashland, Oreg"
"2333","Ashland, United States"
"1281","Asker, Norway"
"3959","Aspen, United States"
"4029","Assen, Netherlands"
"4120","Atascadero, Calif."
"1722","Atascadero, United States"
"1422","Atglen, PA, United States"
"25","Atglen, United States"
"4767","Athenry, Ireland"
"4592","Athens, Ga., United States"
"2460","Athens, Greece"
"925","Athens, United States"
"4111","Athina Peristeri, Greece"
"2427","Athina, Greece"
"1619","Atlanta, GA"
"155","Atlanta, GA, United States"
"1364","Atlanta, Georgia"
"401","Atlanta, United States"
"3116","Attleborough, United States"
"3062","Auberry, United States"
"4606","Auburn"
"1632","Auburn, United States"
"804","Auckland, N.Z., New Zealand"
"106","Auckland, New Zealand"
"4983","Audlem, United Kingdom"
"6073","Aughton, United Kingdom"
"6256","Aurora, United States"
"5621","Austin, TX"
"864","Austin, TX, United Kingdom"
"291","Austin, TX, United States"
"4249","Austin, Texas, United States"
"81","Austin, United States"
"74","Australia"
"3645","Australia, United Kingdom"
"504","Austria"
"3956","Author, United States"
"4674","Av Universidad, Mexico"
