T,Year,Month,Wages,CPI_rus,Inflation_rus,wage_constant,lwage,June,July,Total,Z,index_seasonarity,lwage_season
1,2009,January,17102.5,102.37,1.0237,28134.72922,10.24476001,10.25853098,10.25691673,10.25772385,-0.012963846,-0.047111493,10.2918715
2,2009,February,16927.9,101.65,1.04059105,27395.47548,10.21813315,10.25805864,10.25853098,10.25829481,-0.040161657,-0.078989434,10.29712258
3,2009,March,17646.2,101.31,1.054222793,28188.67351,10.24667553,10.26436328,10.25805864,10.26121096,-0.014535431,-0.022817485,10.26949301
4,2009,April,17695.6,100.69,1.06149693,28073.87709,10.24259478,10.2684327,10.26436328,10.26639799,-0.023803209,-0.03846163,10.28105641
5,2009,May,18132.1,100.57,1.067547463,28603.34056,10.26127879,10.27416659,10.2684327,10.27129965,-0.010020853,-0.018115514,10.27939431
6,2009,June,19500.6,100.6,1.073952747,30578.6737,10.32805811,10.29576044,10.27416659,10.28496351,0.043094593,0.037366446,10.29069166
7,2009,July,18483.6,100.63,1.08071865,28802.47175,10.26821649,10.30033707,10.29576044,10.29804875,-0.029832265,-0.014736391,10.28295288
8,2009,August,18236.4,100,1.08071865,28417.26698,10.25475223,10.30914166,10.30033707,10.30473936,-0.049987132,-0.043869413,10.29862164
9,2009,September,19359.2,99.97,1.080394434,30175.94728,10.31480044,10.32064827,10.30914166,10.31489496,-9.45261E-05,-0.005545951,10.32034639
10,2009,October,19171.5,100,1.080394434,29883.3719,10.30505748,10.32539941,10.32064827,10.32302384,-0.017966358,0.001332564,10.30372492
11,2009,Nov.,19742.4,100.29,1.083527578,30684.27182,10.33150548,10.33162156,10.32539941,10.32851048,0.002995,0.001740844,10.32976464
12,2009,December,24255.6,100.41,1.087970041,37544.89806,10.53329278,10.33906532,10.33162156,10.33534344,0.197949338,0.234548812,10.29874397
13,2010,January,19517.3,101.64,1.10581275,29723.09221,10.29967954,10.34627081,10.33906532,10.34266807,-0.042988529,-0.047111493,10.34679103
14,2010,February,20165.5,100.86,1.115322739,30448.38638,10.32378828,10.35381124,10.34627081,10.35004103,-0.026252747,-0.078989434,10.40277771
15,2010,March,21568.2,100.63,1.122349273,32362.47415,10.38475483,10.35993257,10.35381124,10.3568719,0.027882921,-0.022817485,10.40757231
16,2010,April,19865.2,100.29,1.125604085,29720.97997,10.29960847,10.36499111,10.35993257,10.36246184,-0.062853369,-0.03846163,10.3380701
17,2010,May,20703.3,100.5,1.131232106,30820.78506,10.33594458,10.36906136,10.36499111,10.36702624,-0.031081656,-0.018115514,10.3540601
18,2010,June,22547.5,100.39,1.135643911,33435.82649,10.41738325,10.37613141,10.36906136,10.37259638,0.044786868,0.037366446,10.38001681
19,2010,July,21253.4,100.36,1.139732229,31403.74416,10.35468241,10.37977423,10.37613141,10.37795282,-0.023270411,-0.014736391,10.3694188
20,2010,August,21169.4,100.55,1.146000756,31108.52995,10.34523734,10.37581228,10.37977423,10.37779326,-0.03255592,-0.043869413,10.38910675
21,2010,September,22285.6,100.84,1.155627163,32475.99261,10.38825641,10.37210088,10.37581228,10.37395658,0.014299824,-0.005545951,10.39380236
22,2010,October,21898.8,100.5,1.161405299,31753.55529,10.36575998,10.37528672,10.37210088,10.3736938,-0.007933824,0.001332564,10.36442741
23,2010,Nov.,22400.6,100.81,1.170812681,32220.18853,10.38034851,10.37713993,10.37528672,10.37621332,0.004135186,0.001740844,10.37860766
24,2010,December,28720.6,101.08,1.183457458,40869.25315,10.6181333,10.37763104,10.37713993,10.37738548,0.240747819,0.234548812,10.38358449
25,2011,January,22338.2,102.37,1.2115054,31051.21974,10.34339337,10.38119411,10.37763104,10.37941258,-0.036019207,-0.047111493,10.39050486
26,2011,February,21050.4,100.78,1.220955142,29034.64286,10.27624498,10.38443365,10.38119411,10.38281388,-0.106568904,-0.078989434,10.35523441
27,2011,March,22580.2,100.62,1.228525064,30952.77615,10.34021797,10.38869409,10.38443365,10.38656387,-0.046345898,-0.022817485,10.36303546
28,2011,April,22623.4,100.43,1.233807722,30879.21378,10.33783854,10.39218449,10.38869409,10.39043929,-0.052600747,-0.03846163,10.37630017
29,2011,May,23199.2,100.48,1.239729999,31513.87024,10.35818305,10.39677114,10.39218449,10.39447781,-0.036294762,-0.018115514,10.37629857
30,2011,June,24816.5,100.23,1.242581378,33633.45897,10.42327665,10.40232899,10.39677114,10.39955006,0.023726593,0.037366446,10.38591021
31,2011,July,24181.1,99.99,1.24245712,32775.58771,10.39743924,10.40565677,10.40232899,10.40399288,-0.00655364,-0.014736391,10.41217563
32,2011,August,23803.7,99.76,1.239475223,32341.67157,10.38411182,10.4129964,10.40565677,10.40932658,-0.025214766,-0.043869413,10.42798123
33,2011,September,25146.3,99.96,1.238979433,34179.51055,10.43938164,10.41617678,10.4129964,10.41458659,0.024795049,-0.005545951,10.44492759
34,2011,October,24477.7,100.48,1.244926534,33111.79527,10.40764485,10.41929512,10.41617678,10.41773595,-0.010091098,0.001332564,10.40631229
