Year,GDP-capita,Pop
1950,15632.8323,4777.089
1951,16540.09297,4869.125
1952,16865.94624,4963.829
1953,17351.64577,5061.153
1954,16937.17311,5162.494
1955,17816.39,5265.327
1956,17844.88393,5380.106
1957,17854.21093,5498.09
1958,17380.94504,5619.377
1959,18361.36028,5743.926
1960,18522.0913,5871.831
1961,18641.86985,5993.828
1962,19464.68522,6120.081
1963,20016.26327,6248.206
1964,20883.18426,6378.206
1965,21939.61738,6510.081
1966,23108.35829,6624.755
1967,23429.64249,6740.785
1968,24300.94936,6859.408
1969,24818.37841,6978.155
1970,24573.84323,7098.239
1971,25022.57429,7251.383
1972,26068.27087,7407.075
1973,27287.12575,7579.501
1974,26963.27528,7755.019
1975,26623.78805,7934.497
1976,27754.31723,8170.521
1977,28721.28446,8403.99
1978,30039.86428,8641.036
1979,30720.71481,8883.381
1980,30374.04995,9132.545
1981,30828.88852,9390.138
1982,29961.62635,9657.618
1983,30934.5122,9936.258
1984,32900.6208,10229.272
1985,33872.8849,10539.928
1986,34721.06314,10869.58
1987,35622.94422,11219.34
1988,36786.65423,11591.069
1989,37701.9887,11986.392
1990,37932.98478,12416.08
1991,37402.25485,12882.42
1992,38198.49333,13367.997
1993,38733.00806,13885.756
1994,39805.28202,14394.75
1995,40403.35777,14861.56
1996,41451.95652,15325.716
1997,42795.3684,15815.705
1998,44179.9947,16327.199
1999,45792.30031,16859.09
2000,47138.0655,17407.262
2001,47116.59791,17970.541
2002,47510.62727,18546.203
2003,48418.66735,19134.114
2004,49794.64877,19733.825
2005,50991.22012,20344.667
2006,51848.55848,20964.522
2007,52277.05356,21591.041
2008,51634.53525,22222.846
2009,49749.47343,22858.238
2010,50575.01114,23495.361
2011,51135.33524,24133.492
2012,52178.65419,24771.809
2013,52705.7669,25408.288
 ,,
