	DJIA	CPI	REAL DJIA
1895	3,415241631	1,91033367	6,959407157
1896	3,450603229	1,896148521	7,008953904
1896	3,464003152	1,881760489	7,03674186
1896	3,448751862	1,881760489	7,02149057
1896	3,474884551	1,867161163	7,062222584
1896	3,448383085	1,852345536	7,050536745
1896	3,402523169	1,83730839	7,019713976
1896	3,305680847	1,83730839	6,922871654
1896	3,289528119	1,83730839	6,906718925
1896	3,375797519	1,83730839	6,992988326
1896	3,410441192	1,867161163	6,997779225
1896	3,425336996	1,896148521	6,983687671
1896	3,401360702	1,896148521	6,959711377
1897	3,43970951	1,867161163	7,027047544
1897	3,419538157	1,867161163	7,00687619
1897	3,364336282	1,867161163	6,951674315
1897	3,351331139	1,852345536	6,953484799
1897	3,375421349	1,83730839	6,992612156
1897	3,475256067	1,83730839	7,092446873
1897	3,557494328	1,83730839	7,174685135
1897	3,692669762	1,881760489	7,265408469
1897	3,620228488	1,91033367	7,164394015
1897	3,581227426	1,896148521	7,139578101
1897	3,548683042	1,896148521	7,107033717
1897	3,588948615	1,896148521	7,147299291
1898	3,601017716	1,896148521	7,159368391
1898	3,521126261	1,91033367	7,065291788
1898	3,504749263	1,91033367	7,048914789
1898	3,517438488	1,91033367	7,061604015
1898	3,654168955	1,97838726	7,130280891
1898	3,651891247	1,91033367	7,196056773
1898	3,681477124	1,896148521	7,239827799
1898	3,788957794	1,896148521	7,347308469
1898	3,667354444	1,896148521	7,225705119
1898	3,703915839	1,896148521	7,262266514
1898	3,735350264	1,896148521	7,293700939
1898	3,791769922	1,91033367	7,335935448
1899	3,853132504	1,91033367	7,39729803
1899	3,890198576	1,938113054	7,406584718
1899	3,997310397	1,938113054	7,51369654
1899	4,028827785	1,951718044	7,531608937
1899	3,901071253	1,951718044	7,403852406
1899	3,942705448	1,965141555	7,432063089
1899	3,989206244	1,97838726	7,465318181
1899	4,015045189	1,991458701	7,478085685
1899	3,97747361	2,029680218	7,402292589
1899	4,005884864	2,042102134	7,418281927
1899	4,013589935	2,054372675	7,413716456
1899	3,879663024	2,066494473	7,267667747
Январь 1900	3,880418813	2,066494473	7,268423536
Февраль 1900	3,847053458	2,078470078	7,223082576
Март 1900	3,878753668	2,078470078	7,254782786
Апрель 1900	3,80506566	2,078470078	7,181094778
Май 1900	3,768027916	2,054372675	7,168154438
Июнь 1900	3,694856556	2,042102134	7,107253618
Июль 1900	3,728333313	2,054372675	7,128459835
Август 1900	3,745956615	2,042102134	7,158353677
Сентябрь 1900	3,682768319	2,054372675	7,082894841
Октябрь 1900	3,767011106	2,042102134	7,179408169
Ноябрь 1900	3,887351143	2,042102134	7,299748205
Декабрь 1900	3,947382427	2,029680218	7,372201406
Январь 1901	3,890648183	2,042102134	7,303045246
Февраль 1901	3,893488294	2,029680218	7,318307272
Март 1901	3,936147652	2,029680218	7,36096663
Апрель 1901	4,016894602	2,017100978	7,45429282
Май 1901	4,016498329	2,017100978	7,453896548
Июнь 1901	4,044735813	2,017100978	7,482134032
Июль 1901	3,960310186	2,029680218	7,385129164
Август 1901	3,985673016	2,042102134	7,398070078
Сентябрь 1901	3,88840017	2,054372675	7,288526692
Октябрь 1901	3,854686223	2,054372675	7,254812744
Ноябрь 1901	3,863336836	2,066494473	7,251341559
Декабрь 1901	3,856391895	2,078470078	7,232421014
Январь 1902	3,862414607	2,066494473	7,25041933
Февраль 1902	3,860255915	2,066494473	7,248260638
Март 1902	3,896320362	2,066494473	7,284325085
Апрель 1902	3,893637014	2,078470078	7,269666132
Май 1902	3,884793628	2,090304965	7,248987859
Июнь 1902	3,852510765	2,101999444	7,205010517
Июль 1902	3,875719952	2,101999444	7,228219704
Август 1902	3,882684819	2,090304965	7,24687905
Сентябрь 1902	3,880720143	2,101999444	7,233219895
Октябрь 1902	3,879359308	2,169445029	7,164413476
Ноябрь 1902	3,816736025	2,13628596	7,134949262
Декабрь 1902	3,852200812	2,147461599	7,15923841
Январь 1903	3,865947653	2,158513721	7,161933128
Февраль 1903	3,881324594	2,158513721	7,177310069
Март 1903	3,842038214	2,124993687	7,171543723
Апрель 1903	3,844236549	2,124993687	7,173742059
Май 1903	3,787631431	2,101999444	7,140131183
Июнь 1903	3,767688324	2,101999444	7,120188076
Июль 1903	3,615905454	2,101999444	6,968405206
Август 1903	3,662666374	2,101999444	7,015166126
Сентябрь 1903	3,513078591	2,113562656	6,854015132
Октябрь 1903	3,498342241	2,101999444	6,850841993
Ноябрь 1903	3,480458245	2,090304965	6,844652477
Декабрь 1903	3,582857609	2,090304965	6,94705184
Январь 1904	3,578777158	2,113562656	6,919713699
Февраль 1904	3,550157471	2,13628596	6,868370707
Март 1904	3,583063279	2,124993687	6,912568789
Апрель 1904	3,576525094	2,113562656	6,917461634
Май 1904	3,563741311	2,090304965	6,927935542
Июнь 1904	3,585705435	2,090304965	6,949899667
Июль 1904	3,642537042	2,090304965	7,006731273
Август 1904	3,688279274	2,101999444	7,040779026
Сентябрь 1904	3,742145302	2,113562656	7,083081842
Октябрь 1904	3,83240604	2,113562656	7,173342581
Ноябрь 1904	3,96574006	2,13628596	7,283953297
Декабрь 1904	3,931704057	2,13628596	7,249917293
Январь 1905	3,956112615	2,13628596	7,274325852
Февраль 1905	4,008281826	2,13628596	7,326495063
Март 1905	4,071072523	2,124993687	7,400578033
Апрель 1905	4,020581402	2,124993687	7,350086912
Май 1905	3,997176324	2,113562656	7,338112864
Июнь 1905	4,030911208	2,113562656	7,371847748
Июль 1905	4,091849786	2,113562656	7,432786327
Август 1905	4,078667314	2,124993687	7,408172824
Сентябрь 1905	4,094294561	2,113562656	7,435231101
Октябрь 1905	4,116870602	2,113562656	7,457807142
Ноябрь 1905	4,187382465	2,124993687	7,516887975
Декабрь 1905	4,255225401	2,13628596	7,573438637
Январь 1906	4,300842338	2,13628596	7,619055575
Февраль 1906	4,231452261	2,13628596	7,549665497
Март 1906	4,262991096	2,13628596	7,581204333
Апрель 1906	4,19447794	2,13628596	7,512691177
Май 1906	4,229427459	2,147461599	7,536465057
Июнь 1906	4,154818584	2,147461599	7,461856182
Июль 1906	4,215031526	2,113562656	7,555968066
Август 1906	4,232197437	2,13628596	7,550410674
Сентябрь 1906	4,240987127	2,147461599	7,548024724
Октябрь 1906	4,22042787	2,169445029	7,505482038
Ноябрь 1906	4,243934859	2,180248981	7,518185075
Декабрь 1906	4,235806508	2,190946509	7,499359195
Январь 1907	4,207319018	2,180248981	7,481569234
Февраль 1907	4,194588008	2,201530811	7,447556393
Март 1907	4,072695231	2,190946509	7,336247918
Апрель 1907	4,123178182	2,190946509	7,38673087
Май 1907	4,046786389	2,212004258	7,289281328
Июнь 1907	4,075312938	2,222360371	7,307451763
