	DJIA	SP500	Nasdaq_100	DAX	FTSE_100	CAC_40	FTSE_MIB	IBEX_35	Nikkei	HangSengIndex	CSI 300	Merval	Bovespa	Inmex	S&P TSX_60	BIST_100	FTSE_JSE Africa	Kospi	ååÇÅ	êíë	Sensex	All Ordinaries	Straits Times	MSCI Russia	MSCI EMF
03.01.1950	198,89	16,66																							
04.01.1950	200,2	16,85																							
05.01.1950	200,57	16,93																							
06.01.1950	200,96	16,98																							
09.01.1950	201,98	17,08																							
10.01.1950	201,17	17,030001																							
11.01.1950	201,61	17,09																							
12.01.1950	197,93	16,76																							
13.01.1950	196,81	16,67																							
16.01.1950	197,17	16,719999																							
17.01.1950	198,78	16,860001																							
18.01.1950	199,5	16,85																							
19.01.1950	199,8	16,870001																							
20.01.1950	200,13	16,9																							
23.01.1950	200,42	16,92																							
24.01.1950	199,62	16,860001																							
25.01.1950	198,39	16,74																							
26.01.1950	198,53	16,73																							
27.01.1950	199,08	16,82																							
30.01.1950	201,39	17,02																							
31.01.1950	201,79	17,049999																							
01.02.1950	201,89	17,049999																							
02.02.1950	204,11	17,23																							
03.02.1950	204,53	17,290001																							
06.02.1950	204,59	17,32																							
07.02.1950	203,53	17,23																							
08.02.1950	202,71	17,209999																							
09.02.1950	203,8	17,280001																							
10.02.1950	203,49	17,24																							
13.02.1950	203,49	17,24																							
14.02.1950	202,02	17,059999																							
15.02.1950	201,93	17,059999																							
16.02.1950	201,69	16,99																							
17.02.1950	203,17	17,15																							
20.02.1950	203,47	17,200001																							
21.02.1950	203,35	17,17																							
22.02.1950	203,35	17,17																							
23.02.1950	203,32	17,209999																							
24.02.1950	204,15	17,280001																							
27.02.1950	204,33	17,280001																							
28.02.1950	203,44	17,219999																							
01.03.1950	203,62	17,24																							
02.03.1950	203,54	17,23																							
03.03.1950	204,48	17,290001																							
06.03.1950	204,88	17,32																							
07.03.1950	203,69	17,200001																							
08.03.1950	203,71	17,190001																							
09.03.1950	202,33	17,07																							
10.03.1950	202,44	17,09																							
13.03.1950	203,09	17,120001																							
14.03.1950	204,7	17,25																							
15.03.1950	207,46	17,450001																							
16.03.1950	207,89	17,49																							
17.03.1950	207,57	17,450001																							
20.03.1950	207,78	17,440001																							
21.03.1950	208,27	17,450001																							
22.03.1950	209,31	17,549999																							
23.03.1950	209,62	17,559999																							
24.03.1950	209,78	17,559999																							
27.03.1950	209,1	17,459999																							
28.03.1950	209,5	17,530001																							
29.03.1950	208,4	17,440001																							
30.03.1950	206,43	17,299999																							
31.03.1950	206,05	17,290001																							
03.04.1950	208,44	17,530001																							
04.04.1950	209,05	17,549999																							
05.04.1950	210,34	17,629999																							
06.04.1950	212,1	17,780001																							
07.04.1950	212,1	17,780001																							
10.04.1950	212,29	17,85																							
11.04.1950	211,47	17,75																							
12.04.1950	213,94	17,940001																							
13.04.1950	214,13	17,98																							
14.04.1950	215,31	17,959999																							
17.04.1950	214,41	17,879999																							
18.04.1950	215,05	18,030001																							
19.04.1950	215,21	18,049999																							
20.04.1950	213,72	17,93																							
21.04.1950	214,14	17,959999																							
24.04.1950	212,58	17,83																							
25.04.1950	212,55	17,83																							
26.04.1950	211,72	17,76																							
27.04.1950	212,44	17,860001																							
28.04.1950	213,56	17,959999																							
01.05.1950	215,81	18,219999																							
02.05.1950	214,87	18,110001																							
03.05.1950	216,26	18,27																							
04.05.1950	214,87	18,120001																							
05.05.1950	215,72	18,219999																							
08.05.1950	216,71	18,27																							
09.05.1950	217,4	18,27																							
10.05.1950	218,64	18,290001																							
11.05.1950	218,72	18,290001																							
12.05.1950	217,61	18,18																							
15.05.1950	218,04	18,26																							
16.05.1950	219,7	18,440001																							
17.05.1950	220,6	18,52																							
18.05.1950	220,63	18,559999																							
19.05.1950	222,11	18,68																							
22.05.1950	221,55	18,6																							
23.05.1950	222,47	18,709999																							
24.05.1950	222,57	18,690001																							
25.05.1950	222,44	18,690001																							
