year	month	location	ira	product_category	brand	sku_id	item_per_bundle	shape	with_alcohol	filling	volume	price
2017	1	Alpha City	AC	Chocolates	Cadbury	sku #79	1	Standart	No	Nothing	4572.0	
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #15	1	Standart	No	Nothing	8028.0	1.2213359920239284
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #16	3	Standart	No	Nothing	6606.0	2.8664007976071773
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #22	2	Standart	No	Nothing	11688.0	2.093718843469591
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #28	3	Standart	No	Nothing	3582.0	2.8664007976071773
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #30	1	Standart	No	Nothing	5964.0	1.2213359920239284
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #31	1	Square	No	Nothing	1734.0	1.2213359920239284
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #33	1	Standart	No	Nothing	432.0	1.2213359920239284
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #38	1	Standart	Yes	Nothing	942.0	1.2213359920239284
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #41	1	Standart	No	Nothing	1536.0	1.2213359920239284
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #46	1	Standart	No	Nothing	1926.0	1.2213359920239284
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #48	2	Standart	No	Nothing	5736.0	2.093718843469591
2017	1	Alpha City	AC	Chocolates	Ferrero Rocher	sku #49	1	Standart	No	Nothing	3210.0	1.2213359920239284
2017	1	Alpha City	AC	Chocolates	Milka	sku #42	1	Standart	No	Nothing	294.0	1.3958125623130608
2017	1	Alpha City	AC	Chocolates	Milka	sku #67	1	Standart	No	Nothing	738.0	1.3958125623130608
2017	1	Alpha City	AC	Chocolates	Toblerone	sku #25	1	Standart	No	Nothing	4158.0	1.2213359920239284
2017	1	Alpha City	AC	Chocolates	Toblerone	sku #73	1	Standart	No	Nothing	2256.0	1.2213359920239284
2017	1	Alpha City	AC	Chocolates	Twix	sku #78	1	Standart	No	Nothing	1914.0	
2017	1	Moon	MN	Chocolates	Cadbury	sku #34	1	Standart	No	Nothing	324.0	1.054054054054054
2017	1	Moon	MN	Chocolates	Cadbury	sku #37	1	Standart	No	Nothing	318.0	1.054054054054054
2017	1	Moon	MN	Chocolates	Ferrero Rocher	sku #27	1	Standart	No	Nothing	1842.0	1.1351351351351349
2017	1	Moon	MN	Chocolates	Ferrero Rocher	sku #43	1	Standart	No	Nothing	630.0	1.1351351351351349
2017	1	Moon	MN	Chocolates	Ferrero Rocher	sku #44	1	Standart	No	Nothing	216.0	1.1351351351351349
2017	1	Moon	MN	Chocolates	Ferrero Rocher	sku #72	1	Standart	No	Nothing	3648.0	1.1351351351351349
