"","words","words.1","words.2","words.3"
"1","связываться/связаться (с +inst)","голубчик","непременный","наугад"
"2","святыня","гонорар","неприлично","невольный"
"3","сжиматься/сжаться","гоняться (i) (за +inst)","неравномерный","недостойный"
"4","символ","горячиться/раз-","несложный","нежели"
"5","символический","гражданка","несомненный","незаконно"
"6","сирота (m/f)","греться/по-","нетронутый","нездоровый"
"7","скорбный","гулко","неудобство","некого (+inf)"
"8","скудный","гулянье","неустойчивый","нелепо"
"9","скуластый","девятнадцатый","неприемлемый","неповторимый"
"10","следователь (m)","делец","нотка","непостижимый"
"11","следом (за +inst)","дерзость (f)","нудный","неправый"
"12","служение (+d)","доброта","обиженный","непривычный"
"13","смотр","доисторический","обитать (i)","неприкосновенный"
"14","сознательность (f)","документальный","обкладывать/обложить (+a)","непроходимый"
"15","созыв","домна","облагать/обложить (+a)","несравненно"
"16","сопеть (i)","досадно","обниматься/обняться","нетерпеливый"
"17","соревноваться (с +inst)","достоверность (f)","обогащаться/обогатиться","неудачно"
"18","сплочённость (f)","драть/со- (+a)","обогащать/обогатить (+a)","неуместный"
"19","срабатывать/сработать","дубовый","обои (pl)","нефтепровод"
"20","суждение","дурить (i)","обороняться/оборониться (от +g)","нехотя"
"21","супруг","дымный","обречённый","ничтожество"
"22","существенно","дымчатый","обронить (р) (+a)","новизна"
"23","сыпать/по- (+a or +inst)","дьякон","обстоятельный","ножик"
"24","табачный","дядька (m)","обстрел","ножницы (pl)"
"25","творец","ель (f)","обучать/обучить (+a +d)","нора"
"26","тереть/по- (+a)","ёмкость (f)","обыденный","носик"
"27","толкование","жгучий","окидывать/окинуть (взглядом)","ночлег"
"28","тонкость (f)","желательно","оккупационный","ноша"
"29","торопить/по- (+a)","жерло","оковы (pl)","обводить/обвести (+a)"
"30","тракт","жёрнов","опережать/опередить (+a)","обитатель (m)"
"31","трещать (i)","жизнерадостный","оправляться/оправиться","облезлый"
"32","тридцатый","забвение","организованность (f)","обнаружение"
"33","трость (f)","заботливо","организовывать/организовать (+a)","обоснование"
"34","туннель (m)","забрести (р)","орудийный","обосновывать/обосновать (+a)"
"35","угрожающий","загар","освобождённый","обострять/обострить (+a)"
"36","укладываться/уложиться","загибать/загнуть (+a)","осенью","образный"
"37","укладываться/улечься","загораживать/загородить (+a)","оскорбительный","обувать/обуть (+a)"
"38","уклон","загрузка","слабеть/о-","обходительный"
"39","украдкой","задержка","ослепительный","общеизвестный"
"40","улавливать/уловить (+a)","зазвенеть (р)","оснащать/оснастить (+a +inst)","община"
"41","упускать/упустить (+a)","заладить (р) (+a)","осознавать/осознать (+a)","объективность (f)"
"42","усик","залетать/залететь (в +a)","остальное","обыватель (m)"
"43","ускользать/ускользнуть","заливаться/залиться","стричь/о- (+a)","обыск"
"44","устье","маскировать/за- (+a)","островок","овация"
"45","уточнять/уточнить (+a)","западня","отбой","оголённый"
"46","утрата","зараза","отбывать/отбыть (+a)","огорчение"
"47","ухаживать (i) (за +inst)","заражать/заразить (+a +inst)","отвага","огорчать/огорчить (+a)"
"48","участь (f)","резать/за- (+a)","отваливать/отвалить (+a)","одёргивать/одёрнуть (+a)"
"49","уютный","заслонять/заслонить (+a)","отвесный","одиннадцатый"
"50","фабричный","обнадёживать/обнадёжить (+a)","отклик","одиночный"
"51","фаза","затворять/затворить (+a)","отрывок","озираться (i)"
"52","федерация","затериваться/затеряться","ошибочный","злиться/о-"
"53","хвойный","захлопывать/захлопнуть (+a)","панихида","озлобленный"
"54","хмуро","защищаться/защититься","паром","ознакомление (с +inst)"
"55","худенький","зевать/зевнуть","пассивный","оказание"
"56","централизованный","земледельческий","певец","оккупировать (i/p) (+a)"
"57","цитата","злодей","пепельница","оперный"
"58","частичный","зорко","перебрасывать/перебросить (+a через +a)","опоздание"
"59","чередоваться (i) (c +inst)","зять (m)","передумывать/передумать","ориентироваться (i/p)"
"60","чертить/на- (+a)","идеализм","перекрывать/перекрыть (+a)","осведомляться/осведомиться (о +pr)"
"61","числиться (i)","издаваться/издаться","перелёт","освещаться/осветиться"
"62","чувствительный","издавна","переноситься/перенестись","оснащение"
"63","чулан","издательский","переодеваться/переодеться","основательный"
"64","чума","изумлённо","переплетаться/переплестись","отбиваться/отбиться (от +g)"
"65","чуточку","буржуазия","переработка","отопление"
"66","шведский","классовый","переступать/переступить (+a or через +a)","печатать/от- (+a)"
"67","шестьсот","алмаз","персидский","отправка"
"68","шкатулка","сосуд","персонал","отрекаться/отречься (от +g)"
"69","шлёпать/шлёпнуть (+a)","монополия","пилить (i) (+a)","отрубать/отрубить (+a)"
